PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
E1VAG8_HALED/6-131	0.484615 (5)	64.875000 (6)	0.000000 (0)
C1CYF7_DEIDV/9-151	27.589231 (21)	0.000000 (0)	0.000000 (0)
D5QPQ2_METTR/13-144	1.046154 (7)	0.000000 (0)	56.916668 (3)
G9PQA8_9ACTO/42-220	10.210770 (16)	0.000000 (0)	0.000000 (0)
E2SBQ3_9ACTO/10-172	4.121539 (10)	0.000000 (0)	0.000000 (1)
A8ZTA9_DESOH/197-319	0.678462 (6)	5.107143 (2)	56.916668 (3)
A3SHT9_9RHOB/5-142	36.053844 (23)	0.000000 (0)	0.000000 (0)
G8QYI7_SPHPG/7-128	1.092308 (8)	34.017857 (4)	0.000000 (1)
H0QP48_ARTGO/1-139	11.476923 (11)	0.000000 (0)	0.000000 (0)
C5BV06_BEUC1/10-155	18.595385 (20)	0.000000 (0)	0.000000 (0)
C0QD18_DESAH/198-319	0.643077 (6)	39.035713 (4)	49.666668 (3)
G6EYP9_9PROT/1-131	26.381538 (15)	0.000000 (0)	0.000000 (0)
A4WZY2_RHOS5/6-140	11.821539 (16)	0.000000 (0)	0.000000 (0)
A5DDD4_PICGU/28-174	29.298462 (19)	0.000000 (1)	0.000000 (0)
C4W828_STAWA/6-129	1.201538 (7)	108.482140 (7)	65.833336 (3)
D0L1C7_HALNC/6-151	40.878460 (25)	0.000000 (0)	0.000000 (0)
G4ELQ1_MYCIO/3-144	16.780001 (17)	0.000000 (1)	0.000000 (0)
A3Y9Z1_9GAMM/5-139	9.310769 (15)	0.000000 (0)	0.000000 (0)
D3RQ69_ALLVD/9-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
F9WYY4_MYCGM/15-174	46.073845 (26)	0.000000 (0)	0.000000 (0)
C0BRP3_9BIFI/35-205	4.023077 (10)	0.000000 (1)	0.000000 (0)
B8KA77_VIBPA/4-146	41.141537 (24)	0.000000 (0)	0.000000 (0)
D7W606_9FLAO/3-144	32.370770 (23)	0.000000 (0)	0.000000 (0)
A7AH66_9PORP/60-190	0.483077 (5)	53.089287 (5)	14.250000 (2)
H0DZQ9_9ACTN/4-125	0.644615 (6)	39.035713 (4)	117.500000 (4)
B9JCJ3_AGRRK/6-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
G8N918_9DEIN/3-130	0.476923 (4)	105.267860 (7)	117.500000 (4)
B0TI67_HELMI/4-145	3.816923 (11)	0.000000 (0)	0.000000 (1)
C4FH06_9BIFI/3-175	4.870769 (12)	0.000000 (0)	0.000000 (1)
D9S005_THEOJ/4-148	5.398461 (13)	0.000000 (1)	13.416667 (2)
C3XLT9_9HELI/11-149	25.575384 (20)	0.000000 (0)	0.000000 (0)
H8XTB0_FLAIG/5-147	42.972309 (25)	0.000000 (0)	0.000000 (0)
B7RQ46_9RHOB/3-135	0.755385 (6)	131.732147 (8)	0.000000 (0)
B3RLD4_TRIAD/1-133	16.316923 (13)	0.000000 (0)	0.000000 (0)
Q7NGJ5_GLOVI/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
A9A198_NITMS/4-127	0.644615 (6)	3.160714 (2)	117.500000 (4)
B8E006_DICTD/3-138	3.489231 (11)	0.000000 (1)	56.916668 (3)
G7EAQ3_MIXOS/6-147	29.724615 (21)	0.000000 (0)	0.000000 (0)
C5AP17_BURGB/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
A1RDB3_ARTAT/88-209	0.726154 (7)	54.071430 (5)	117.500000 (4)
E1RJK4_METP4/5-134	0.472308 (5)	105.267860 (7)	117.500000 (4)
I0JXH6_9BACT/7-141	0.755385 (6)	131.732147 (8)	0.000000 (0)
C5JB50_9BACT/11-142	1.295385 (7)	9.321428 (3)	56.916668 (3)
B9XS27_9BACT/8-138	1.201538 (7)	131.732147 (8)	56.916668 (3)
G5GDY9_9BACT/5-148	37.752308 (23)	0.000000 (0)	0.000000 (0)
A3V7Z1_9RHOB/115-249	0.755385 (6)	131.732147 (8)	0.000000 (0)
B9D0S1_WOLRE/3-148	24.878462 (20)	0.000000 (0)	0.000000 (0)
A7HGH6_ANADF/20-147	0.472308 (5)	104.964287 (7)	62.583332 (3)
B9L880_NAUPA/4-127	1.201538 (7)	105.267860 (7)	0.000000 (0)
Q0FQR7_9RHOB/5-146	31.241539 (22)	0.000000 (0)	0.000000 (0)
E8THX8_MESCW/9-153	27.958462 (22)	0.000000 (0)	0.000000 (0)
A2TW48_9FLAO/6-148	37.689232 (24)	0.000000 (0)	0.000000 (0)
Q7M8Y0_WOLSU/6-146	31.621538 (22)	0.000000 (0)	0.000000 (0)
A6TLY2_ALKMQ/5-125	1.233846 (9)	47.857143 (5)	117.500000 (4)
G1WWL9_9FIRM/4-146	16.647692 (17)	0.000000 (0)	0.000000 (0)
G8NXN2_GRAMM/4-126	0.476923 (5)	39.035713 (4)	117.500000 (4)
F5SAL7_9BACL/4-124	22.161539 (19)	0.000000 (0)	0.000000 (0)
H5RWV9_9NOCA/7-128	0.476923 (5)	54.071430 (5)	117.500000 (4)
B1Y3B5_LEPCP/7-153	26.580000 (22)	0.000000 (0)	0.000000 (0)
F3B5W6_9FIRM/4-147	16.098461 (17)	0.000000 (0)	0.000000 (0)
C8X2U2_DESRD/4-136	0.476923 (4)	64.571426 (5)	117.500000 (4)
E4NH07_KITSK/31-217	5.512308 (12)	0.000000 (0)	0.000000 (0)
B7DS53_9BACL/3-147	5.395385 (13)	0.000000 (1)	0.000000 (0)
G4HSN8_MYCRH/104-223	0.538462 (6)	71.892860 (6)	0.000000 (1)
A7I4S9_METB6/7-137	0.472308 (5)	56.410713 (5)	117.500000 (4)
F3ZQM0_9BACE/3-133	1.335385 (8)	85.178574 (6)	65.833336 (3)
H5UQI3_9MICO/7-135	0.535385 (5)	9.321428 (3)	62.583332 (3)
A4CLW8_ROBBH/5-146	42.972309 (25)	0.000000 (0)	0.000000 (0)
I0L4P3_9ACTO/5-148	2.256923 (9)	0.000000 (1)	0.000000 (1)
B7SKH0_9PSED/7-131	1.300000 (8)	28.571428 (4)	14.250000 (2)
D2UE81_XANAP/3-148	38.718460 (24)	0.000000 (0)	0.000000 (0)
A4CH33_ROBBH/4-135	1.201538 (7)	64.571426 (5)	65.833336 (3)
E1IFU4_9CHLR/10-147	1.638462 (6)	0.000000 (0)	0.000000 (1)
Q0YUF7_9CHLB/1-133	18.195385 (14)	0.000000 (0)	0.000000 (0)
Q5P059_AROAE/8-142	0.687692 (6)	98.392860 (7)	0.000000 (0)
Q608V2_METCA/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q2CBA5_9RHOB/13-150	1.098462 (7)	0.000000 (1)	24.000000 (2)
G4CTS3_9NEIS/7-149	22.783077 (19)	0.000000 (0)	0.000000 (0)
H7FVW3_9FLAO/5-137	0.476923 (4)	59.678570 (5)	117.500000 (4)
H7DTZ5_9FIRM/5-141	2.803077 (10)	0.000000 (1)	0.000000 (1)
A9DRS7_9RHOB/117-251	0.755385 (6)	131.732147 (8)	0.000000 (0)
E4M8T1_9BACT/5-151	43.103077 (25)	0.000000 (0)	0.000000 (0)
G7GPX1_9ACTO/7-149	18.347692 (18)	0.000000 (0)	0.000000 (1)
E7RWH1_9BURK/7-152	31.541538 (23)	0.000000 (0)	0.000000 (1)
A9CU64_9RHIZ/1-140	38.829231 (23)	0.000000 (0)	0.000000 (0)
C7P4A3_HALMD/6-131	0.800000 (7)	0.000000 (1)	117.500000 (4)
E6UXC1_VARPE/4-137	13.115385 (17)	0.000000 (0)	0.000000 (1)
Q6DNH3_9EURY/4-127	0.543077 (5)	68.642860 (6)	0.000000 (1)
H1KAY4_9MYCO/27-190	5.695385 (13)	0.000000 (0)	0.000000 (0)
D4TU71_9NOST/1-129	31.393847 (17)	0.000000 (0)	0.000000 (0)
B8F353_HAEPS/5-144	7.721539 (14)	0.000000 (0)	0.000000 (1)
C2HNG2_LACAI/4-146	19.307692 (19)	0.000000 (0)	0.000000 (0)
H8FWB2_RHOMO/8-142	0.755385 (6)	105.267860 (7)	0.000000 (1)
D4W830_9FIRM/4-124	1.380000 (9)	47.857143 (5)	117.500000 (4)
F3B8N7_9FIRM/1-122	1.092308 (8)	34.017857 (4)	22.000000 (2)
B8FCX2_DESAA/6-138	0.543077 (5)	84.446426 (6)	56.916668 (3)
Q1JWZ3_DESAC/7-143	1.066154 (6)	64.571426 (5)	117.500000 (4)
A6EJ27_9SPHI/4-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
G6GE79_9FIRM/6-135	1.201538 (7)	108.482140 (7)	117.500000 (4)
Q47PM9_THEFY/9-130	0.644615 (6)	54.071430 (5)	117.500000 (4)
F4BT63_METCG/22-161	1.138462 (7)	105.267860 (7)	117.500000 (4)
Q0G3I6_9RHIZ/4-138	0.546154 (6)	131.732147 (8)	0.000000 (1)
E6W749_DESIS/5-126	1.481538 (9)	34.017857 (4)	0.000000 (1)
A2E677_TRIVA/6-137	16.375385 (18)	0.000000 (0)	0.000000 (0)
D7GR67_9FIRM/4-159	16.098461 (17)	0.000000 (0)	0.000000 (0)
C4ZJG3_THASP/5-142	8.983077 (14)	0.000000 (0)	0.000000 (0)
Q0ARZ1_MARMM/4-137	1.350769 (8)	131.732147 (8)	0.000000 (0)
F6FS77_ISOV2/215-338	0.910769 (7)	54.071430 (5)	62.583332 (3)
A1WT74_HALHL/7-136	1.538462 (8)	84.446426 (6)	117.500000 (4)
F5J1M9_9PORP/6-151	40.107693 (24)	0.000000 (1)	0.000000 (0)
Q8FR84_COREF/11-132	0.644615 (6)	54.071430 (5)	117.500000 (4)
H2JBP2_9CLOT/6-127	1.092308 (8)	47.857143 (5)	22.000000 (2)
B8YJN0_9BACI/6-135	1.201538 (7)	108.482140 (7)	65.833336 (3)
Q12I99_SHEDO/27-158	2.190769 (9)	22.589285 (4)	0.000000 (1)
A3U0M7_9RHOB/115-249	0.910769 (7)	131.732147 (8)	0.000000 (0)
C4XG98_DESMR/4-135	1.244615 (7)	105.267860 (7)	117.500000 (4)
C0Z4X3_BREBN/4-145	36.053844 (23)	0.000000 (0)	0.000000 (0)
C0BDV8_9FIRM/261-397	3.232308 (8)	0.000000 (0)	0.000000 (0)
Q82SN3_NITEU/1-126	1.792308 (6)	0.000000 (0)	0.000000 (1)
D3S9J3_THISK/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
A3ERD1_9BACT/120-251	0.689231 (6)	78.160713 (6)	22.000000 (2)
E6S629_INTC7/9-158	22.886154 (20)	0.000000 (0)	0.000000 (1)
D5BKJ4_ZUNPS/6-148	34.406155 (23)	0.000000 (0)	0.000000 (0)
D7AWC6_NOCDD/26-177	32.929230 (23)	0.000000 (0)	0.000000 (0)
I0YSB5_9CHLO/32-200	7.152308 (12)	0.000000 (0)	0.000000 (1)
A3I267_9BACT/4-150	42.972309 (25)	0.000000 (0)	0.000000 (0)
Q0AQL5_MARMM/6-138	1.064615 (7)	3.428571 (2)	56.916668 (3)
C7Q093_CATAD/90-211	0.330769 (3)	54.071430 (5)	117.500000 (4)
E3DNL4_HALPG/5-125	1.596923 (9)	77.732140 (6)	117.500000 (4)
D6AGZ2_STRFL/91-212	0.543077 (5)	54.071430 (5)	62.583332 (3)
H0RH37_9ACTO/17-180	6.283077 (13)	0.000000 (0)	0.000000 (0)
G0V4G9_9CLOT/3-142	2.861538 (11)	0.000000 (0)	0.000000 (1)
H7ELJ9_9SPIO/4-145	16.281538 (17)	0.000000 (0)	0.000000 (0)
B6INF2_RHOCS/12-143	1.640000 (8)	20.160715 (4)	56.916668 (3)
A1WWF6_HALHL/8-153	46.073845 (26)	0.000000 (0)	0.000000 (0)
C9R9N5_AMMDK/9-138	0.856923 (7)	105.267860 (7)	117.500000 (4)
Q12LT9_SHEDO/5-147	44.135384 (25)	0.000000 (0)	0.000000 (0)
D4IXJ6_BUTFI/7-145	2.589231 (7)	0.000000 (1)	0.000000 (0)
G6XLQ3_9PROT/4-147	40.099998 (25)	0.000000 (0)	0.000000 (0)
G4QM56_GLANF/430-572	7.678462 (12)	0.000000 (1)	0.000000 (0)
A3VA81_9RHOB/121-255	0.906154 (7)	131.732147 (8)	0.000000 (0)
F3KKA0_9ARCH/18-141	0.644615 (6)	19.142857 (3)	117.500000 (4)
C0QPK0_PERMH/5-137	0.755385 (6)	131.732147 (8)	117.500000 (4)
C9RP66_FIBSS/4-172	17.290770 (18)	0.000000 (0)	0.000000 (0)
Q3K9H2_PSEPF/5-141	9.213846 (15)	0.000000 (0)	0.000000 (0)
D1PUP5_9BACT/9-156	40.096924 (24)	0.000000 (0)	0.000000 (0)
H0QN92_ARTGO/12-136	0.535385 (5)	10.000000 (3)	62.583332 (3)
E1VQ08_9GAMM/7-152	40.878460 (25)	0.000000 (0)	0.000000 (0)
G4GJF3_9EURY/13-140	1.009231 (8)	0.000000 (1)	117.500000 (4)
C2ERI5_9LACO/3-146	24.755384 (20)	0.000000 (0)	0.000000 (1)
F3FIP4_PSESX/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
B9LT44_HALLT/19-143	0.476923 (5)	0.000000 (1)	62.583332 (3)
E6SLL6_THEM7/6-150	3.609231 (11)	0.000000 (0)	0.000000 (0)
D5HC44_SALRM/4-133	0.661538 (7)	85.178574 (6)	117.500000 (4)
C8W800_ATOPD/19-160	22.053846 (20)	0.000000 (0)	0.000000 (0)
D3R816_KLEVT/5-139	9.706154 (15)	0.000000 (0)	0.000000 (0)
F9U2G9_MARPU/8-132	1.201538 (7)	56.410713 (5)	24.333334 (2)
D7A8C1_STAND/121-255	0.684615 (7)	131.732147 (8)	0.000000 (0)
F9D5M6_9BACT/9-156	35.309231 (23)	0.000000 (1)	0.000000 (0)
H1NPQ0_9SPHI/19-148	1.201538 (7)	85.178574 (6)	117.500000 (4)
Q2W692_MAGSA/8-142	0.755385 (6)	105.267860 (7)	0.000000 (1)
H3DVT3_PRIPA/9-155	35.043076 (23)	0.000000 (0)	0.000000 (0)
E6WLJ9_PANSA/7-141	9.706154 (15)	0.000000 (0)	0.000000 (0)
Q8PZC0_METMA/9-148	1.138462 (7)	105.267860 (7)	117.500000 (4)
D4GZC0_HALVD/20-148	0.800000 (7)	29.482143 (4)	117.500000 (4)
C0N2S0_9GAMM/12-141	1.201538 (7)	85.178574 (6)	117.500000 (4)
G8M9S2_9BURK/9-143	0.732308 (7)	131.732147 (8)	0.000000 (0)
H1Y6P9_9SPHI/3-140	35.027691 (23)	0.000000 (0)	0.000000 (0)
Q31HS5_THICR/9-154	33.612309 (23)	0.000000 (0)	0.000000 (0)
I0WP49_9NOCA/114-244	1.004615 (8)	108.482140 (7)	0.000000 (0)
E4U5N7_OCEP5/7-134	0.476923 (4)	105.267860 (7)	117.500000 (4)
H8NYU1_RAHAQ/1-122	0.616923 (4)	0.000000 (1)	0.000000 (0)
D0XBQ1_VIBHA/6-130	2.184615 (9)	91.875000 (7)	0.000000 (1)
B5WPQ1_9BURK/1-133	24.573847 (15)	0.000000 (0)	0.000000 (0)
D8USN6_9MICC/3-167	2.164615 (9)	0.000000 (1)	0.000000 (1)
E8RKH3_ASTEC/4-148	44.135384 (25)	0.000000 (0)	0.000000 (0)
A1U1F2_MARAV/7-151	40.878460 (25)	0.000000 (0)	0.000000 (0)
B2IZA7_NOSP7/4-126	0.538462 (6)	45.964287 (5)	65.833336 (3)
Q8NTG2_CORGL/7-190	9.146153 (14)	0.000000 (1)	0.000000 (0)
B4CX19_9BACT/25-157	0.620000 (6)	131.732147 (8)	117.500000 (4)
C1FUJ0_CLOBJ/5-126	1.092308 (8)	47.857143 (5)	0.000000 (1)
I0I8F7_9CHLR/7-139	0.476923 (4)	77.732140 (6)	117.500000 (4)
F0YIT4_AURAN/19-151	1.284615 (8)	14.035714 (3)	117.500000 (4)
D7CLJ3_SYNLT/7-135	0.472308 (5)	105.267860 (7)	117.500000 (4)
G0HI11_CORVD/10-139	0.390769 (4)	9.321428 (3)	24.000000 (2)
D9QKA7_BRESC/4-147	35.970768 (23)	0.000000 (0)	0.000000 (0)
C4XAZ0_KLEPN/5-139	6.035385 (14)	0.000000 (1)	0.000000 (0)
A6F0U4_9ALTE/5-129	0.938462 (8)	39.196430 (5)	0.000000 (0)
A3VL97_9RHOB/5-144	36.053844 (23)	0.000000 (0)	0.000000 (0)
F8D7F8_HALXS/13-140	1.200000 (8)	29.482143 (4)	117.500000 (4)
F3YWK3_DESAF/4-135	1.066154 (6)	81.928574 (6)	117.500000 (4)
H8FV56_RHOMO/4-149	40.099998 (25)	0.000000 (0)	0.000000 (0)
A1CFF1_ASPCL/15-199	38.553844 (24)	0.000000 (0)	0.000000 (0)
B6G8Y9_9ACTN/4-148	16.500000 (17)	0.000000 (0)	0.000000 (0)
C8PX77_9GAMM/7-140	0.472308 (5)	23.071428 (4)	0.000000 (0)
F4XB70_9FIRM/236-357	1.564615 (9)	34.017857 (4)	22.000000 (2)
D3LLH7_MICLU/110-293	2.438462 (9)	0.000000 (0)	0.000000 (0)
F1ZDE6_9SPHN/6-149	39.383076 (24)	0.000000 (0)	0.000000 (0)
E6UAW8_RUMA7/4-145	11.275385 (16)	0.000000 (0)	0.000000 (0)
F6D7P3_METSW/10-137	0.472308 (5)	56.410713 (5)	117.500000 (4)
E4PF93_MARAH/5-129	0.684615 (7)	64.875000 (6)	0.000000 (0)
C9YA80_9BURK/8-144	0.744615 (7)	131.732147 (8)	0.000000 (0)
G8QGT9_AZOSU/3-133	1.538462 (8)	108.482140 (7)	0.000000 (0)
F3KQQ8_9BURK/8-153	40.099998 (25)	0.000000 (0)	0.000000 (0)
C3PHN6_CORA7/12-155	21.910769 (20)	0.000000 (0)	0.000000 (1)
I0S4N2_MYCPH/7-150	17.521538 (18)	0.000000 (0)	0.000000 (0)
G4I376_MYCRH/9-152	17.521538 (18)	0.000000 (0)	0.000000 (0)
Q2BNP1_9GAMM/4-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
G3J255_9GAMM/8-142	0.538462 (6)	131.732147 (8)	0.000000 (0)
F0SBY3_PEDSD/3-140	37.776924 (24)	0.000000 (0)	0.000000 (0)
Q47ZQ5_COLP3/9-152	42.195385 (25)	0.000000 (0)	0.000000 (0)
D6DJ66_CLOSC/7-128	0.726154 (6)	47.857143 (5)	49.666668 (3)
D4YTZ7_9LACO/4-145	25.009232 (21)	0.000000 (0)	0.000000 (0)
A7HIR2_ANADF/5-141	10.658462 (16)	0.000000 (0)	0.000000 (1)
B4R9T7_PHEZH/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
B5KAZ0_9RHOB/5-141	1.098462 (7)	3.625000 (2)	24.000000 (2)
Q30TT6_SULDN/5-127	1.201538 (7)	105.267860 (7)	0.000000 (0)
B1SXA0_9BURK/5-136	6.112308 (13)	0.000000 (0)	0.000000 (0)
D2B1R2_STRRD/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
G1Y284_9PROT/7-141	0.472308 (5)	67.821426 (6)	0.000000 (0)
A3PWG9_MYCSJ/6-130	0.390769 (4)	11.250000 (3)	24.000000 (2)
I0IRJ8_9BACT/50-188	7.230769 (12)	0.000000 (0)	0.000000 (1)
H1BBE0_9FIRM/6-127	0.786154 (7)	77.732140 (6)	22.000000 (2)
H1G3Q6_9GAMM/9-138	1.538462 (8)	84.446426 (6)	117.500000 (4)
D8PAI8_9BACT/4-149	2.058461 (9)	0.000000 (1)	0.000000 (1)
Q75BD1_ASHGO/7-153	35.593845 (23)	0.000000 (0)	0.000000 (0)
E9UMX8_9ACTO/3-143	29.418461 (22)	0.000000 (0)	0.000000 (1)
F1Z160_9STRE/4-137	11.441539 (15)	0.000000 (0)	0.000000 (0)
G6CN06_DANPL/7-151	24.581539 (21)	0.000000 (1)	0.000000 (1)
E2ZCZ2_9FIRM/1-129	5.863077 (7)	0.000000 (0)	0.000000 (0)
G2H6E8_9DELT/10-141	0.475385 (5)	84.446426 (6)	117.500000 (4)
D0GPK9_9FUSO/4-144	18.244616 (18)	0.000000 (0)	0.000000 (0)
F3L0C8_9GAMM/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q2W1Y1_MAGSA/8-139	1.643077 (8)	3.428571 (2)	56.916668 (3)
H7F361_9LIST/5-128	1.201538 (7)	108.482140 (7)	65.833336 (3)
Q4PCU4_USTMA/19-161	41.424614 (24)	0.000000 (0)	0.000000 (0)
H3ZI97_9ALTE/6-130	1.138462 (7)	46.732143 (5)	0.000000 (0)
A8IC14_AZOC5/16-150	0.618462 (6)	3.428571 (2)	56.916668 (3)
D2PQ14_KRIFD/6-127	0.644615 (6)	39.035713 (4)	117.500000 (4)
D3DK70_HYDTT/3-135	0.755385 (6)	131.732147 (8)	117.500000 (4)
B8EIC5_METSB/6-149	44.135384 (25)	0.000000 (0)	0.000000 (0)
E6S8A0_INTC7/8-175	5.116923 (11)	0.000000 (1)	0.000000 (1)
F2I575_AERUA/30-171	13.546154 (17)	0.000000 (0)	0.000000 (0)
C3X2Z8_OXAFO/1-132	9.533846 (15)	0.000000 (0)	13.416667 (2)
B6R6D5_9RHOB/8-149	46.073845 (26)	0.000000 (0)	0.000000 (0)
D3PLX3_MEIRD/4-144	36.526154 (24)	0.000000 (0)	0.000000 (0)
D3PPW6_MEIRD/7-138	0.527692 (6)	99.410713 (7)	62.583332 (3)
E8RIM7_DESPD/4-136	0.543077 (5)	59.678570 (5)	65.833336 (3)
H6C2T8_EXODN/10-159	38.553844 (24)	0.000000 (0)	0.000000 (0)
A3QDA7_SHELP/7-149	44.135384 (25)	0.000000 (0)	0.000000 (0)
A6ESU9_9BACT/5-147	30.296923 (22)	0.000000 (1)	0.000000 (0)
G3J258_9GAMM/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
D4J671_9FIRM/4-158	14.773847 (16)	0.000000 (0)	0.000000 (0)
B5IPL1_9CHRO/1-149	36.526154 (24)	0.000000 (0)	0.000000 (0)
D6Y6Y9_THEBD/4-146	37.315384 (24)	0.000000 (0)	0.000000 (0)
F6DP73_DESRL/5-145	3.115385 (11)	0.000000 (0)	0.000000 (1)
D5CSQ5_SIDLE/9-154	36.067692 (23)	0.000000 (0)	0.000000 (0)
O27408_METTH/5-125	0.476923 (4)	81.928574 (6)	117.500000 (4)
E8L314_9RHIZ/7-138	1.046154 (7)	3.428571 (2)	56.916668 (3)
C5CVD9_VARPS/4-137	13.115385 (17)	0.000000 (0)	0.000000 (1)
Q0AKJ9_MARMM/3-145	35.310768 (24)	0.000000 (0)	0.000000 (0)
D5BEU1_ZUNPS/14-144	1.538462 (8)	37.089287 (4)	65.833336 (3)
D1XYX9_9BACT/13-160	40.096924 (24)	0.000000 (0)	0.000000 (0)
E4RY49_LEAB4/4-154	26.586153 (21)	0.000000 (0)	0.000000 (0)
Q4WIH0_ASPFU/226-398	38.553844 (24)	0.000000 (0)	0.000000 (0)
F5XI34_MICPN/10-131	0.644615 (6)	54.071430 (5)	117.500000 (4)
G3J1V5_9GAMM/6-151	42.972309 (25)	0.000000 (0)	0.000000 (0)
D7UVW0_LISGR/3-133	5.118462 (12)	0.000000 (0)	0.000000 (1)
F7YMV1_VIBA7/15-157	25.058462 (21)	0.000000 (0)	0.000000 (0)
A0KXP4_SHESA/7-143	0.689231 (6)	98.392860 (7)	0.000000 (0)
G8TRU3_NIAKG/1-143	22.321539 (20)	0.000000 (0)	0.000000 (0)
I0IKM0_9BACT/3-133	1.201538 (7)	131.732147 (8)	0.000000 (0)
A9DYU7_9FLAO/5-147	42.972309 (25)	0.000000 (0)	0.000000 (0)
A4WXK3_RHOS5/7-150	42.478462 (24)	0.000000 (0)	0.000000 (0)
H3SQ41_9BACL/4-187	2.946154 (10)	0.000000 (0)	0.000000 (1)
H0KT71_9FLAO/3-143	32.870770 (23)	0.000000 (0)	0.000000 (0)
A2SRN4_METLZ/4-124	1.650769 (9)	77.732140 (6)	22.000000 (2)
D8GSW1_CLOLD/4-145	15.396923 (17)	0.000000 (0)	0.000000 (0)
G3JUZ8_CORMM/7-161	42.170769 (25)	0.000000 (0)	0.000000 (0)
B6JYK6_SCHJY/12-157	37.372307 (24)	0.000000 (0)	0.000000 (0)
F2NR81_MARHT/8-149	41.256924 (25)	0.000000 (0)	0.000000 (0)
H8GQA2_METAL/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
F8GMV2_CUPNN/5-138	12.530769 (17)	0.000000 (0)	0.000000 (0)
B8HP88_CYAP4/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
D5USP0_TSUPD/7-148	17.521538 (18)	0.000000 (0)	0.000000 (1)
E6VRI7_DESAO/3-134	1.066154 (6)	105.267860 (7)	117.500000 (4)
C0G006_9FIRM/23-161	3.206154 (8)	0.000000 (0)	0.000000 (1)
D7GHL5_PROFC/6-146	12.187693 (17)	0.000000 (0)	0.000000 (0)
G4E3X9_9GAMM/13-158	40.878460 (25)	0.000000 (0)	0.000000 (0)
E0IEL3_9BACL/4-186	4.201539 (12)	0.000000 (0)	0.000000 (0)
F1YHD3_9ACTO/11-151	17.741539 (18)	0.000000 (0)	0.000000 (1)
A6LHP9_PARD8/3-133	1.201538 (7)	85.178574 (6)	117.500000 (4)
E7H6J5_9BURK/9-154	30.400000 (23)	0.000000 (0)	0.000000 (0)
G7WHI7_DESOD/5-141	5.256923 (13)	0.000000 (0)	0.000000 (0)
E4PS07_MARAH/5-140	8.260000 (14)	0.000000 (0)	0.000000 (0)
F4XDZ9_9FIRM/4-145	16.936924 (17)	0.000000 (1)	0.000000 (0)
E8V1X6_TERSS/4-126	0.643077 (6)	39.035713 (4)	117.500000 (4)
H0J2Z6_9GAMM/4-148	42.972309 (25)	0.000000 (0)	0.000000 (0)
Q6LNR1_PHOPR/6-140	9.310769 (15)	0.000000 (0)	0.000000 (0)
H7EZQ0_PSEST/7-131	1.095385 (7)	46.732143 (5)	14.250000 (2)
G9PGL3_9ACTO/17-180	10.210770 (16)	0.000000 (0)	0.000000 (1)
G6AVZ6_9BACT/14-160	44.315384 (25)	0.000000 (0)	0.000000 (0)
D7CRT9_TRURR/8-139	0.755385 (6)	60.821430 (6)	56.916668 (3)
E9SUX5_CLOSY/7-128	1.078462 (8)	47.857143 (5)	22.000000 (2)
F6F447_SPHCR/8-142	0.755385 (6)	99.410713 (7)	0.000000 (0)
B6BDZ6_9RHOB/3-135	0.755385 (6)	131.732147 (8)	0.000000 (1)
H5UVT8_9MICO/1-149	24.353846 (20)	0.000000 (0)	0.000000 (0)
Q2FQC1_METHJ/6-135	0.472308 (5)	105.267860 (7)	117.500000 (4)
Q6LSY1_PHOPR/13-155	41.141537 (24)	0.000000 (0)	0.000000 (0)
I0I8F6_9CHLR/126-253	0.472308 (5)	104.964287 (7)	22.000000 (2)
B8JF76_ANAD2/22-148	0.472308 (5)	104.964287 (7)	62.583332 (3)
B2UM71_AKKM8/7-144	2.923077 (10)	0.000000 (0)	0.000000 (0)
G8RMU0_MYCRN/11-154	16.304615 (17)	0.000000 (0)	0.000000 (0)
C4GK03_9NEIS/4-145	17.386154 (17)	0.000000 (0)	0.000000 (1)
B3QU08_CHLT3/22-146	1.195385 (8)	131.732147 (8)	117.500000 (4)
G4FXW7_9GAMM/43-179	9.310769 (15)	0.000000 (0)	0.000000 (0)
E4TVG7_MARTH/4-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
D5X209_THIK1/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
H1Q352_9BACT/13-160	37.299999 (23)	0.000000 (0)	0.000000 (0)
H5SSF9_9BACT/8-134	1.776923 (9)	47.857143 (5)	117.500000 (4)
G5K5E1_9STRE/4-137	16.024616 (17)	0.000000 (0)	0.000000 (0)
